accuracy,bal_accuracy,macro_f1,weighted_f1
0.9402423181950741,0.6320517144729053,0.7116191719137704,0.9282010152021475
0.9384306759634844,0.6286792074257933,0.7077562798974405,0.9259262656638173
0.9397076628047757,0.6324376245217547,0.7118378875250804,0.9274973229247708
0.9387267248159636,0.627622279595223,0.7067820798844796,0.9261651788624292
0.939659057769294,0.6242606204638899,0.7061690216120761,0.9275776622877892
0.939548591779563,0.6304870752788361,0.7101640558390167,0.9272877885606716
0.9393762648355825,0.6301817953302286,0.7093655934406495,0.9270728779055952
0.9396855696068295,0.6246076918685447,0.7038376896692632,0.9274411851111175
0.9388106789681593,0.6281563207144671,0.707301614747814,0.9261697891547019
0.938642770663768,0.6269419007513305,0.7079050345175103,0.9261447634575747
0.9401627826824677,0.6309989247357157,0.7124136271032961,0.928150534356973
0.9392260310895482,0.6289341771916075,0.7075706410364091,0.926866348873566
0.9398092915153282,0.632761158614417,0.7107885813964739,0.9275407644296689
0.9394116139522963,0.6319873006209887,0.710618539440042,0.9269297072343363
0.9391199837394063,0.6312551631710948,0.709535658980987,0.9267537798727751
0.9400920844490398,0.6346473047074002,0.7133439119114634,0.9277483807388136
0.9400699912510936,0.6349902112080691,0.7143192465333816,0.9279861634904897
0.9405162738496072,0.629235302407141,0.7095074026163388,0.9284683735759407
0.9397651051194358,0.630594337837659,0.7087170008560383,0.9274603099999955
0.9397739423986143,0.633636221467092,0.7113821630607633,0.9276335223073596
0.9388592840036409,0.6302610898787506,0.7090771117264205,0.9263992819696683
0.9392657988458514,0.6266579727795901,0.7049120408290134,0.9269896092567852
0.9389785872725506,0.6268774032825946,0.7074410500244843,0.9264840556774366
0.9387620739326776,0.6258877114727878,0.7059447028342473,0.9263410906934544
0.9395971968150446,0.6330779631536098,0.7122713484542019,0.9273084297424484
0.9390757973435139,0.6272375332110954,0.7077833276945856,0.9266618175806851
0.9395839408962768,0.6309864480492227,0.7116127283690057,0.9273230475012588
0.940131852205343,0.6305477807350197,0.7082656649057162,0.9279912847384405
0.9398490592716314,0.6356214598809322,0.7138334401242703,0.9276507813853745
0.9388416094452839,0.6265710794736333,0.7054733453259393,0.926257651425886
0.9392348683687266,0.6344161634284866,0.7110172289361668,0.9266847275699233
0.939606034094223,0.6272228518657572,0.7063182810445073,0.927335028458732
0.9399816184593087,0.632716851095417,0.7116650838909517,0.9277783127928441
0.9388990517599441,0.6343015532330823,0.7127533401850511,0.9263344280160465
0.9394690562669565,0.6321231068990941,0.7110102060022054,0.9272053509853311
0.9392392870083158,0.6298479333893148,0.7095488855109872,0.9269271962041757
0.9400346421343797,0.6319432601865554,0.7107788011323455,0.9278118331568163
0.9397651051194358,0.6343029312947517,0.714429479387699,0.9275507790041115
0.939477893546135,0.6327079600411322,0.7097286557940639,0.9272062688433257
0.939477893546135,0.631113712219838,0.7094474693193603,0.9270313025434165
0.9397253373631327,0.6285951609692525,0.7070568888857938,0.9274730194742486
0.9401937131595924,0.6297676400015132,0.7099588254800634,0.928241474127292
0.9391951006124234,0.6269912808605776,0.7078416102096788,0.9268812852856221
0.9385278860344477,0.6272355705164959,0.7066318495840237,0.9257767658153387
0.9394469630690103,0.6332090559040556,0.7124264466575344,0.9271942716190164
