accuracy,bal_accuracy,macro_f1,weighted_f1
0.9441749074295006,0.9183623287460644,0.8619741955008505,0.9480120267095771
0.944453281723623,0.9124781348641557,0.8601159916898072,0.9482046017433093
0.9446521205051389,0.9150711034341964,0.8621004421227821,0.9483836683099154
0.9444930494799261,0.9158248537358723,0.8614677253778406,0.9482471828061949
0.9445681663529433,0.9202344360084974,0.8666220759161183,0.9482820426549607
0.9449967743930998,0.9154000709920097,0.8618296507561591,0.948594847723033
0.9454209637936672,0.9207961227623965,0.8627846052488776,0.949190805295073
0.9451602640579019,0.9180605149790518,0.8620945445243403,0.948814607399985
0.9446830509822636,0.9149041879705309,0.8610265768591975,0.948438583556308
0.9439495568104492,0.9166478092715893,0.8609905317471311,0.9478454390798887
0.945217706372562,0.9168298057032253,0.8619490830675997,0.9488453539347401
0.9444886308403369,0.9147608070193851,0.8568456213148374,0.9481981414079371
0.9442323497441608,0.9148726203862498,0.860722985517956,0.9480570728766685
0.9432602490345272,0.9150367328750086,0.8571728686805579,0.9471093751112007
0.9450144489514568,0.9205329803327045,0.8632440021555939,0.9486468846396832
0.9448421220074763,0.9156622245452094,0.8613231912073663,0.9485446361120329
0.9448156101699409,0.9174483937764989,0.86119775304567,0.9485026150389063
0.9449658439159752,0.9178644139162488,0.8633282343103256,0.9486926866153449
0.9443118852567671,0.9152894281391676,0.8603745045027901,0.9480941578658848
0.9441130464752512,0.9186249671188526,0.8622772941618154,0.9479492748014355
0.9452839859664006,0.9143281802798778,0.8619270361862208,0.9490215646105098
0.9440158364042879,0.9109652770212501,0.8565738790294889,0.9477219282041006
0.9443693275714273,0.9132097413361523,0.859231129373202,0.9482177434710313
0.945398870595721,0.9194688971660122,0.8666019188179683,0.9490751663254074
0.9438700212978428,0.9151355276748018,0.8582622895570646,0.947692872439364
0.9441218837544297,0.9166451439078455,0.862227407123698,0.9479990093990174
0.9448200288095301,0.9176264905548298,0.8613275254851394,0.9484947285787624
0.9435518792474173,0.9159766248360832,0.8595707569401575,0.9473760385534322
0.9443030479775887,0.9143657971791531,0.8600770382331443,0.948146575584471
0.9443207225359457,0.9151823658816632,0.8596023834613727,0.9481287989159697
0.9443339784547133,0.9167629905642208,0.8620293022917888,0.9481606249342609
0.9434369946180969,0.9149657887753985,0.8576223436797564,0.9473630961618734
0.94505421670776,0.9215590209849385,0.8639368910507833,0.948723332747169
0.9438081603435934,0.9144973786540987,0.8599740169339964,0.9476548272139411
0.944453281723623,0.915063082820458,0.8590223587512981,0.9483044328868778
0.9441218837544297,0.915959417319964,0.8598880591896462,0.9478838487646124
0.9447670051344592,0.9144755976633313,0.8588064618675538,0.948527729118054
0.9444621190028014,0.9168807403280005,0.860995967909001,0.9481783296507705
0.9441970006274468,0.9182372501838497,0.8589539447652823,0.9480174015157135
0.9437242061913977,0.913227590119499,0.8585844235484156,0.9476234532111261
0.9444267698860874,0.9170273456560597,0.8622619073661021,0.9480976453387162
0.9442632802212855,0.9151835775977898,0.8584653100111762,0.9482083596286343
